,song_number,song_name,song_root_note,song_mode
0,0,after mid-term\dataset\295\albeniz\alb_esp1.mid,d,Harmonic_minor
1,1,after mid-term\dataset\295\albeniz\alb_esp2.mid,D,Ionian
2,2,after mid-term\dataset\295\albeniz\alb_esp3.mid,e,Harmonic_minor
3,3,after mid-term\dataset\295\albeniz\alb_esp4.mid,g,Aeolian
4,4,after mid-term\dataset\295\albeniz\alb_esp5.mid,E-,Ionian
5,5,after mid-term\dataset\295\albeniz\alb_esp6.mid,E,Ionian
6,6,after mid-term\dataset\295\albeniz\alb_se1.mid,F,Harmonic_minor
7,7,after mid-term\dataset\295\albeniz\alb_se2.mid,g,Aeolian
8,8,after mid-term\dataset\295\albeniz\alb_se3.mid,G,Mixolydian
9,9,after mid-term\dataset\295\albeniz\alb_se4.mid,C#,Harmonic_minor
10,10,after mid-term\dataset\295\albeniz\alb_se5.mid,g,Harmonic_minor
11,11,after mid-term\dataset\295\albeniz\alb_se6.mid,d,Aeolian
12,12,after mid-term\dataset\295\albeniz\alb_se7.mid,F#,Ionian
13,13,after mid-term\dataset\295\albeniz\alb_se8.mid,E-,Ionian
14,14,after mid-term\dataset\295\bach\bach_846.mid,C,Ionian
15,15,after mid-term\dataset\295\bach\bach_847.mid,c,Harmonic_minor
16,16,after mid-term\dataset\295\bach\bach_850.mid,D,Ionian
17,17,after mid-term\dataset\295\balakir\islamei.mid,F#,Harmonic_minor
18,18,after mid-term\dataset\295\beeth\appass_1.mid,f,Harmonic_minor
19,19,after mid-term\dataset\295\beeth\appass_2.mid,C#,Ionian
20,20,after mid-term\dataset\295\beeth\appass_3.mid,f,Aeolian
21,21,after mid-term\dataset\295\beeth\beethoven_hammerklavier_1.mid,B-,Ionian
22,22,after mid-term\dataset\295\beeth\beethoven_hammerklavier_2.mid,B-,Phrygian
23,23,after mid-term\dataset\295\beeth\beethoven_hammerklavier_3.mid,f#,Harmonic_minor
24,24,after mid-term\dataset\295\beeth\beethoven_hammerklavier_4.mid,B-,Ionian
25,25,after mid-term\dataset\295\beeth\beethoven_les_adieux_1.mid,E-,Ionian
26,26,after mid-term\dataset\295\beeth\beethoven_les_adieux_2.mid,c,Mixolydian
27,27,after mid-term\dataset\295\beeth\beethoven_les_adieux_3.mid,E-,Ionian
28,28,after mid-term\dataset\295\beeth\beethoven_opus10_1.mid,c,Aeolian
29,29,after mid-term\dataset\295\beeth\beethoven_opus10_2.mid,A-,Ionian
30,30,after mid-term\dataset\295\beeth\beethoven_opus10_3.mid,c,Aeolian
31,31,after mid-term\dataset\295\beeth\beethoven_opus22_1.mid,B-,Lydian
32,32,after mid-term\dataset\295\beeth\beethoven_opus22_2.mid,E-,Ionian
33,33,after mid-term\dataset\295\beeth\beethoven_opus22_3.mid,B-,Ionian
34,34,after mid-term\dataset\295\beeth\beethoven_opus22_4.mid,B-,Ionian
35,35,after mid-term\dataset\295\beeth\beethoven_opus90_1.mid,e,Aeolian
36,36,after mid-term\dataset\295\beeth\beethoven_opus90_2.mid,E,Ionian
37,37,after mid-term\dataset\295\beeth\elise.mid,a,Dorian
38,38,after mid-term\dataset\295\beeth\mond_1.mid,c#,Aeolian
39,39,after mid-term\dataset\295\beeth\mond_2.mid,C#,Ionian
40,40,after mid-term\dataset\295\beeth\mond_3.mid,c#,Aeolian
41,41,after mid-term\dataset\295\beeth\pathetique_1.mid,c,Aeolian
42,42,after mid-term\dataset\295\beeth\pathetique_2.mid,A-,Harmonic_minor
43,43,after mid-term\dataset\295\beeth\pathetique_3.mid,c,Aeolian
44,44,after mid-term\dataset\295\beeth\waldstein_1.mid,a,Aeolian
45,45,after mid-term\dataset\295\beeth\waldstein_2.mid,C,Ionian
46,46,after mid-term\dataset\295\beeth\waldstein_3.mid,C,Ionian
47,47,after mid-term\dataset\295\borodin\bor_ps1.mid,c#,Aeolian
48,48,after mid-term\dataset\295\borodin\bor_ps2.mid,F,Ionian
